venue_i,venue_j,date,lag,fake_t0,beta_delta,se_delta,t_stat,p_delta,significant
COINBASE,BINANCE,2025-09-04,1,2025-09-04 12:00:00,-0.3918211418796601,0.016286044626970718,-24.058704912964537,0.0,True
COINBASE,BINANCE,2025-09-04,3,2025-09-04 12:00:00,-0.040292309940488394,0.01680471245520144,-2.3976792252709456,0.016509953362337404,True
COINBASE,BINANCE,2025-09-04,6,2025-09-04 12:00:00,0.008885991098887405,0.016807114774062392,0.5287041362150228,0.5970175653160945,False
COINBASE,BYBITSPOT,2025-09-04,1,2025-09-04 12:00:00,0.02053692310197827,0.01654510727593228,1.241268657825675,0.21452465066025228,False
COINBASE,BYBITSPOT,2025-09-04,3,2025-09-04 12:00:00,-0.002730012806122651,0.016550009029018462,-0.16495536657024776,0.8689811898975999,False
COINBASE,BYBITSPOT,2025-09-04,6,2025-09-04 12:00:00,0.01256621807272066,0.01654887035548207,0.759339930931171,0.44766039000910385,False
COINBASE,BITGET,2025-09-04,1,2025-09-04 12:00:00,0.028728075276825773,0.01807516896055554,1.5893669010517961,0.11200044068658221,False
COINBASE,BITGET,2025-09-04,3,2025-09-04 12:00:00,-0.014366585038498629,0.018077717044384163,-0.794712352407441,0.4267944863962856,False
COINBASE,BITGET,2025-09-04,6,2025-09-04 12:00:00,-0.007823096447418694,0.018077846406512315,-0.4327449338545394,0.6652068348737821,False
BYBITSPOT,BINANCE,2025-09-04,1,2025-09-04 12:00:00,-0.020902566098265747,0.016562318388445508,-1.2620555654121561,0.20694704074628945,False
BYBITSPOT,BINANCE,2025-09-04,3,2025-09-04 12:00:00,-0.006105652640369611,0.016568743978723495,-0.3685042540466612,0.712502111030421,False
BYBITSPOT,BINANCE,2025-09-04,6,2025-09-04 12:00:00,-0.019346492796278616,0.01657893563298739,-1.1669321375362944,0.2432550380883054,False
BYBITSPOT,COINBASE,2025-09-04,1,2025-09-04 12:00:00,0.009042894672205733,0.015005184775511982,0.6026513373539705,0.5467491708259775,False
BYBITSPOT,COINBASE,2025-09-04,3,2025-09-04 12:00:00,0.0015223813265386821,0.015013210339456847,0.10140278408926623,0.919231992833047,False
BYBITSPOT,COINBASE,2025-09-04,6,2025-09-04 12:00:00,-0.009667780712082073,0.015010920507504,-0.6440498240763531,0.5195523301478651,False
BYBITSPOT,BITGET,2025-09-04,1,2025-09-04 12:00:00,0.007192209226783733,0.0173476636245857,0.41459238445174196,0.6784469341685235,False
BYBITSPOT,BITGET,2025-09-04,3,2025-09-04 12:00:00,0.032125569622697005,0.017348555572179628,1.85177201001183,0.06408046891556562,False
