ts,venue,msgs_last_30s,last_tick_exchange_ts,last_tick_local_ts,lag_ms,gaps_last_30s
2025-09-28T00:05:06.045844,kraken,16,,,0,0
2025-09-28T00:05:06.045844,okx,298,,,0,0
2025-09-28T00:05:06.045844,bybit,88,,,0,0
2025-09-28T00:05:11.047964,binance,63,1759010710014,1759010710123,0,0
2025-09-28T00:05:11.047964,coinbase,170,,,0,0
2025-09-28T00:05:11.047964,kraken,16,,,0,0
2025-09-28T00:05:11.047964,okx,340,,,0,0
2025-09-28T00:05:11.047964,bybit,92,,,0,0
2025-09-28T00:05:11.048864,binance,63,1759010710014,1759010710123,0,0
2025-09-28T00:05:11.048864,coinbase,170,,,0,0
2025-09-28T00:05:11.048864,kraken,16,,,0,0
2025-09-28T00:05:11.048864,okx,340,,,0,0
2025-09-28T00:05:11.048864,bybit,92,,,0,0
2025-09-28T00:05:11.049323,binance,63,1759010710014,1759010710123,0,0
2025-09-28T00:05:11.049323,coinbase,170,,,0,0
2025-09-28T00:05:11.049323,kraken,16,,,0,0
2025-09-28T00:05:11.049323,okx,340,,,0,0
2025-09-28T00:05:11.049323,bybit,92,,,0,0
2025-09-28T00:05:11.049966,binance,63,1759010710014,1759010710123,0,0
2025-09-28T00:05:11.049966,coinbase,170,,,0,0
2025-09-28T00:05:11.049966,kraken,16,,,0,0
2025-09-28T00:05:11.049966,okx,340,,,0,0
2025-09-28T00:05:11.049966,bybit,92,,,0,0
2025-09-28T00:05:11.050608,binance,63,1759010710014,1759010710123,0,0
2025-09-28T00:05:11.050608,coinbase,170,,,0,0
2025-09-28T00:05:11.050608,kraken,16,,,0,0
2025-09-28T00:05:11.050608,okx,340,,,0,0
2025-09-28T00:05:11.050608,bybit,92,,,0,0
2025-09-28T00:05:16.053808,binance,68,1759010715016,1759010715125,0,0
2025-09-28T00:05:16.053808,coinbase,192,,,0,0
2025-09-28T00:05:16.053808,kraken,19,,,0,0
2025-09-28T00:05:16.053808,okx,375,,,0,0
2025-09-28T00:05:16.053808,bybit,96,,,0,0
2025-09-28T00:05:16.055519,binance,68,1759010715016,1759010715125,0,0
2025-09-28T00:05:16.055519,coinbase,192,,,0,0
2025-09-28T00:05:16.055519,kraken,19,,,0,0
2025-09-28T00:05:16.055519,okx,375,,,0,0
2025-09-28T00:05:16.055519,bybit,96,,,0,0
2025-09-28T00:05:16.056267,binance,68,1759010715016,1759010715125,0,0
2025-09-28T00:05:16.056267,coinbase,192,,,0,0
2025-09-28T00:05:16.056267,kraken,19,,,0,0
2025-09-28T00:05:16.056267,okx,375,,,0,0
2025-09-28T00:05:16.056267,bybit,96,,,0,0
2025-09-28T00:05:16.056837,binance,68,1759010715016,1759010715125,0,0
2025-09-28T00:05:16.056837,coinbase,192,,,0,0
2025-09-28T00:05:16.056837,kraken,19,,,0,0
2025-09-28T00:05:16.056837,okx,375,,,0,0
2025-09-28T00:05:16.056837,bybit,96,,,0,0
2025-09-28T00:05:16.057383,binance,68,1759010715016,1759010715125,0,0
2025-09-28T00:05:16.057383,coinbase,192,,,0,0
2025-09-28T00:05:16.057383,kraken,19,,,0,0
2025-09-28T00:05:16.057383,okx,375,,,0,0
2025-09-28T00:05:16.057383,bybit,96,,,0,0
2025-09-28T00:05:21.059640,binance,73,1759010720017,1759010720125,0,0
2025-09-28T00:05:21.059640,coinbase,199,,,0,0
2025-09-28T00:05:21.059640,kraken,20,,,0,0
2025-09-28T00:05:21.059640,okx,404,,,0,0
2025-09-28T00:05:21.059640,bybit,100,,,0,0
2025-09-28T00:05:21.060691,binance,73,1759010720017,1759010720125,0,0
2025-09-28T00:05:21.060691,coinbase,199,,,0,0
2025-09-28T00:05:21.060691,kraken,20,,,0,0
2025-09-28T00:05:21.060691,okx,404,,,0,0
2025-09-28T00:05:21.060691,bybit,100,,,0,0
2025-09-28T00:05:21.061328,binance,73,1759010720017,1759010720125,0,0
2025-09-28T00:05:21.061328,coinbase,199,,,0,0
2025-09-28T00:05:21.061328,kraken,20,,,0,0
2025-09-28T00:05:21.061328,okx,404,,,0,0
2025-09-28T00:05:21.061328,bybit,100,,,0,0
2025-09-28T00:05:21.061920,binance,73,1759010720017,1759010720125,0,0
2025-09-28T00:05:21.061920,coinbase,199,,,0,0
2025-09-28T00:05:21.061920,kraken,20,,,0,0
2025-09-28T00:05:21.061920,okx,404,,,0,0
2025-09-28T00:05:21.061920,bybit,100,,,0,0
2025-09-28T00:05:21.062458,binance,73,1759010720017,1759010720125,0,0
2025-09-28T00:05:21.062458,coinbase,199,,,0,0
2025-09-28T00:05:21.062458,kraken,20,,,0,0
2025-09-28T00:05:21.062458,okx,404,,,0,0
2025-09-28T00:05:21.062458,bybit,100,,,0,0
2025-09-28T00:05:26.065083,binance,78,1759010725014,1759010725124,0,0
2025-09-28T00:05:26.065083,coinbase,210,,,0,0
2025-09-28T00:05:26.065083,kraken,22,,,0,0
2025-09-28T00:05:26.065083,okx,429,,,0,0
2025-09-28T00:05:26.065083,bybit,107,,,0,0
2025-09-28T00:05:26.066033,binance,78,1759010725014,1759010725124,0,0
2025-09-28T00:05:26.066033,coinbase,210,,,0,0
2025-09-28T00:05:26.066033,kraken,22,,,0,0
2025-09-28T00:05:26.066033,okx,429,,,0,0
