event_id,date,venue_event,venue_i,venue_j,lag,beta_pre,beta_post,delta_beta,p_delta,n_pre,n_post,insufficient,notes
109,20250905,BITGET,COINBASE,BITGET,0,nan,nan,nan,nan,49,57,True,LOW_N
110,20250905,BITGET,BYBITSPOT,BITGET,0,nan,nan,nan,nan,49,59,True,LOW_N
111,20250905,BITGET,BITGET,BYBITSPOT,0,nan,nan,nan,nan,48,55,True,LOW_N
112,20250905,BITGET,BITGET,BINANCE,0,nan,nan,nan,nan,48,53,True,LOW_N
112,20250905,BITGET,BYBITSPOT,BITGET,0,nan,nan,nan,nan,47,54,True,LOW_N
113,20250905,BITGET,BITGET,COINBASE,0,nan,nan,nan,nan,60,47,True,LOW_N
113,20250905,BITGET,COINBASE,BITGET,0,nan,nan,nan,nan,43,62,True,LOW_N
115,20250905,BYBITSPOT,BYBITSPOT,BINANCE,0,nan,nan,nan,nan,49,69,True,LOW_N
115,20250905,BYBITSPOT,BYBITSPOT,COINBASE,0,nan,nan,nan,nan,40,66,True,LOW_N
115,20250905,BYBITSPOT,BITGET,BYBITSPOT,0,nan,nan,nan,nan,45,56,True,LOW_N
116,20250905,BYBITSPOT,COINBASE,BYBITSPOT,0,nan,nan,nan,nan,43,57,True,LOW_N
117,20250905,BYBITSPOT,BINANCE,BYBITSPOT,0,nan,nan,nan,nan,47,66,True,LOW_N
117,20250905,BYBITSPOT,BYBITSPOT,BITGET,0,nan,nan,nan,nan,49,59,True,LOW_N
118,20250905,BYBITSPOT,BINANCE,BYBITSPOT,0,nan,nan,nan,nan,49,67,True,LOW_N
118,20250905,BYBITSPOT,BITGET,BYBITSPOT,0,nan,nan,nan,nan,48,55,True,LOW_N
119,20250905,BYBITSPOT,BYBITSPOT,BITGET,0,nan,nan,nan,nan,47,54,True,LOW_N
122,20250905,COINBASE,BYBITSPOT,COINBASE,0,nan,nan,nan,nan,43,64,True,LOW_N
122,20250905,COINBASE,COINBASE,BITGET,0,nan,nan,nan,nan,47,67,True,LOW_N
123,20250905,COINBASE,COINBASE,BYBITSPOT,0,nan,nan,nan,nan,43,57,True,LOW_N
123,20250905,COINBASE,COINBASE,BITGET,0,nan,nan,nan,nan,49,57,True,LOW_N
124,20250905,COINBASE,COINBASE,BINANCE,0,nan,nan,nan,nan,42,63,True,LOW_N
124,20250905,COINBASE,BINANCE,COINBASE,0,nan,nan,nan,nan,45,66,True,LOW_N
125,20250905,COINBASE,COINBASE,BINANCE,0,nan,nan,nan,nan,49,66,True,LOW_N
125,20250905,COINBASE,BITGET,COINBASE,0,nan,nan,nan,nan,44,57,True,LOW_N
127,20250905,COINBASE,COINBASE,BYBITSPOT,0,nan,nan,nan,nan,60,49,True,LOW_N
128,20250906,BINANCE,BINANCE,BYBITSPOT,0,nan,nan,nan,nan,45,70,True,LOW_N
128,20250906,BINANCE,BINANCE,BITGET,0,nan,nan,nan,nan,48,54,True,LOW_N
129,20250906,BINANCE,BINANCE,BITGET,0,nan,nan,nan,nan,58,45,True,LOW_N
130,20250906,BINANCE,BINANCE,BITGET,0,nan,nan,nan,nan,46,57,True,LOW_N
