event_id,date,venue_event,venue_i,venue_j,delta_disp,delta_entropy,session,wash_tercile,n_pre,n_post
28,20250902,BITGET,BYBITSPOT,BITGET,2.14330216790541e-08,-3.209281908023165e-05,NewYork,low,179,178
29,20250902,BITGET,BITGET,BINANCE,6.173288327984223e-11,0.0,Tokyo,low,180,180
29,20250902,BITGET,BINANCE,BITGET,6.173288327984223e-11,0.0,Tokyo,low,180,180
29,20250902,BITGET,BITGET,COINBASE,6.772673025123411e-10,0.0,Tokyo,low,180,180
29,20250902,BITGET,COINBASE,BITGET,6.772673025123411e-10,0.0,Tokyo,low,180,180
29,20250902,BITGET,BITGET,BYBITSPOT,-7.765225879115616e-09,3.8505708352731816e-05,Tokyo,low,168,171
29,20250902,BITGET,BYBITSPOT,BITGET,-8.039513997101706e-09,0.00012043223531610359,Tokyo,low,158,160
30,20250902,BITGET,BITGET,BINANCE,2.2424231534683834e-08,0.0,Tokyo,low,180,180
30,20250902,BITGET,BINANCE,BITGET,2.166091180859265e-08,0.0,Tokyo,low,180,180
30,20250902,BITGET,BITGET,COINBASE,2.0479088953278076e-08,0.0,Tokyo,low,180,180
30,20250902,BITGET,COINBASE,BITGET,2.0058586840618448e-08,0.0,Tokyo,low,180,180
30,20250902,BITGET,BITGET,BYBITSPOT,2.206021267303028e-09,6.145438297799899e-06,Tokyo,low,167,172
30,20250902,BITGET,BYBITSPOT,BITGET,1.1958969168997858e-08,5.3621483514953994e-05,Tokyo,low,153,164
31,20250902,BITGET,BITGET,BINANCE,6.580995732685634e-08,0.0,Tokyo,low,180,180
31,20250902,BITGET,BINANCE,BITGET,7.11685725941781e-08,0.0,Tokyo,low,180,180
31,20250902,BITGET,BITGET,COINBASE,6.961058201326403e-08,0.0,Tokyo,low,180,180
31,20250902,BITGET,COINBASE,BITGET,7.68669032539853e-08,0.0,Tokyo,low,180,180
31,20250902,BITGET,BITGET,BYBITSPOT,4.003923089617376e-08,-2.9137766812015187e-05,Tokyo,low,174,177
31,20250902,BITGET,BYBITSPOT,BITGET,4.223390604964072e-08,-2.8286420464374018e-05,Tokyo,low,166,173
32,20250902,BITGET,BITGET,BINANCE,5.3779692564456036e-08,0.0,Tokyo,low,180,180
32,20250902,BITGET,BINANCE,BITGET,5.221419246385512e-08,0.0,Tokyo,low,180,180
32,20250902,BITGET,BITGET,COINBASE,5.751503557692421e-08,0.0,Tokyo,low,180,180
32,20250902,BITGET,COINBASE,BITGET,5.619595813953377e-08,0.0,Tokyo,low,180,180
32,20250902,BITGET,BITGET,BYBITSPOT,1.284804880205465e-08,0.0,Tokyo,low,175,180
32,20250902,BITGET,BYBITSPOT,BITGET,6.085458147636739e-08,1.1777921008038206e-05,Tokyo,low,167,177
33,20250902,BITGET,BITGET,BINANCE,-8.78024699108112e-09,0.0,Tokyo,low,180,180
33,20250902,BITGET,BINANCE,BITGET,-1.12451936235982e-08,0.0,Tokyo,low,180,180
33,20250902,BITGET,BITGET,COINBASE,-1.858676002891854e-08,0.0,Tokyo,low,180,180
33,20250902,BITGET,COINBASE,BITGET,-1.9280316559564887e-08,0.0,Tokyo,low,180,180
33,20250902,BITGET,BITGET,BYBITSPOT,-2.3374562088833985e-08,-0.0001543408395880963,Tokyo,low,180,180
33,20250902,BITGET,BYBITSPOT,BITGET,-2.959568245364609e-08,9.55811327478795e-05,Tokyo,low,177,180
34,20250902,BITGET,BITGET,BINANCE,-2.0616454935429554e-07,0.0,NewYork,low,180,180
34,20250902,BITGET,BINANCE,BITGET,-2.0836878272146442e-07,0.0,NewYork,low,180,180
34,20250902,BITGET,BITGET,COINBASE,-2.1129173925767895e-07,0.0,NewYork,low,180,180
34,20250902,BITGET,COINBASE,BITGET,-2.431256244105177e-07,0.0,NewYork,low,180,180
34,20250902,BITGET,BITGET,BYBITSPOT,-1.3147839617560236e-07,0.0,NewYork,low,180,180
34,20250902,BITGET,BYBITSPOT,BITGET,5.4832457729299935e-08,0.0,NewYork,low,180,180
35,20250902,BITGET,BITGET,BINANCE,-4.1594584888132544e-08,0.0,NewYork,low,180,180
35,20250902,BITGET,BINANCE,BITGET,-5.1505652563676464e-08,0.0,NewYork,low,180,180
35,20250902,BITGET,BITGET,COINBASE,-2.8036207111783928e-08,0.0,NewYork,low,180,180
35,20250902,BITGET,COINBASE,BITGET,1.6772194535616098e-08,0.0,NewYork,low,180,180
35,20250902,BITGET,BITGET,BYBITSPOT,-5.1865823498542565e-08,0.0,NewYork,low,180,180
35,20250902,BITGET,BYBITSPOT,BITGET,-4.9526959165860355e-08,0.0,NewYork,low,180,180
36,20250902,BYBITSPOT,BYBITSPOT,BINANCE,1.0395572572942289e-08,-3.209281908023165e-05,NewYork,low,179,178
36,20250902,BYBITSPOT,BINANCE,BYBITSPOT,-4.553109671437609e-08,6.277301686119507e-05,NewYork,low,179,180
36,20250902,BYBITSPOT,BYBITSPOT,COINBASE,5.406066548273293e-08,3.209281908023165e-05,NewYork,low,178,179
36,20250902,BYBITSPOT,COINBASE,BYBITSPOT,-3.1448746119561544e-08,6.277301686119507e-05,NewYork,low,179,180
36,20250902,BYBITSPOT,BYBITSPOT,BITGET,2.14330216790541e-08,-3.209281908023165e-05,NewYork,low,179,178
36,20250902,BYBITSPOT,BITGET,BYBITSPOT,-4.679964581366888e-08,6.277301686119507e-05,NewYork,low,179,180
37,20250902,BYBITSPOT,BYBITSPOT,BINANCE,-8.445643635157876e-09,0.00012043223531610359,Tokyo,low,158,160
37,20250902,BYBITSPOT,BINANCE,BYBITSPOT,-9.232135878177223e-09,3.8505708352731816e-05,Tokyo,low,168,171
37,20250902,BYBITSPOT,BYBITSPOT,COINBASE,-3.0203519156832265e-09,0.00012043223531610359,Tokyo,low,158,160
37,20250902,BYBITSPOT,COINBASE,BYBITSPOT,-2.0917354638550493e-09,3.8505708352731816e-05,Tokyo,low,168,171
37,20250902,BYBITSPOT,BYBITSPOT,BITGET,-8.039513997101706e-09,0.00012043223531610359,Tokyo,low,158,160
37,20250902,BYBITSPOT,BITGET,BYBITSPOT,-7.765225879115616e-09,3.8505708352731816e-05,Tokyo,low,168,171
38,20250902,BYBITSPOT,BYBITSPOT,BINANCE,1.2073128425355633e-08,5.3621483514953994e-05,Tokyo,low,153,164
38,20250902,BYBITSPOT,BINANCE,BYBITSPOT,1.7697471848515246e-09,6.145438297799899e-06,Tokyo,low,167,172
38,20250902,BYBITSPOT,BYBITSPOT,COINBASE,8.212429693260709e-09,5.3621483514953994e-05,Tokyo,low,153,164
38,20250902,BYBITSPOT,COINBASE,BYBITSPOT,-4.700003848942821e-09,6.145438297799899e-06,Tokyo,low,167,172
38,20250902,BYBITSPOT,BYBITSPOT,BITGET,9.554373220918055e-09,0.00012844147857959953,Tokyo,low,153,165
38,20250902,BYBITSPOT,BITGET,BYBITSPOT,8.114518868368531e-10,6.145438297799899e-06,Tokyo,low,167,172
39,20250902,BYBITSPOT,BYBITSPOT,BINANCE,3.852314686681864e-08,-2.8286420464374018e-05,Tokyo,low,166,173
39,20250902,BYBITSPOT,BINANCE,BYBITSPOT,1.2200956549029283e-08,-2.9137766812015187e-05,Tokyo,low,174,177
39,20250902,BYBITSPOT,BYBITSPOT,COINBASE,4.251635542231058e-08,-2.8286420464374018e-05,Tokyo,low,166,173
39,20250902,BYBITSPOT,COINBASE,BYBITSPOT,1.902103085420322e-08,-2.9137766812015187e-05,Tokyo,low,174,177
39,20250902,BYBITSPOT,BYBITSPOT,BITGET,4.2925034069592015e-08,-2.8286420464374018e-05,Tokyo,low,166,173
39,20250902,BYBITSPOT,BITGET,BYBITSPOT,3.811065173578064e-08,-2.9137766812015187e-05,Tokyo,low,174,177
40,20250902,BYBITSPOT,BYBITSPOT,BINANCE,4.720668012168805e-08,1.1777921008038206e-05,Tokyo,low,167,177
40,20250902,BYBITSPOT,BINANCE,BYBITSPOT,7.3948433154646965e-09,0.0,Tokyo,low,175,180
40,20250902,BYBITSPOT,BYBITSPOT,COINBASE,4.893626035023322e-08,1.1777921008038206e-05,Tokyo,low,167,177
40,20250902,BYBITSPOT,COINBASE,BYBITSPOT,7.909730759344096e-09,0.0,Tokyo,low,175,180
40,20250902,BYBITSPOT,BYBITSPOT,BITGET,6.121622799131465e-08,1.1777921008038206e-05,Tokyo,low,167,177
40,20250902,BYBITSPOT,BITGET,BYBITSPOT,1.2315064991001253e-08,0.0,Tokyo,low,175,180
41,20250902,BYBITSPOT,BYBITSPOT,BINANCE,-1.5746115924242344e-08,9.55811327478795e-05,Tokyo,low,177,180
41,20250902,BYBITSPOT,BINANCE,BYBITSPOT,-1.6714831657987902e-08,-0.00247424158504872,Tokyo,low,180,180
41,20250902,BYBITSPOT,BYBITSPOT,COINBASE,-2.5889184823569116e-08,9.55811327478795e-05,Tokyo,low,177,180
41,20250902,BYBITSPOT,COINBASE,BYBITSPOT,-2.0417146832595268e-08,0.0,Tokyo,low,180,180
